WorkerId,QuestionToBeRated1,QuestionToBeRated2,QuestionToBeRated3,QuestionToBeRated4,QuestionToBeRated5,Response1,Response2,Response3,Response4,Response5,R1Rated,R2Rated,R3Rated,R4Rated,R5Rated
worker1,I am worried about not finding a job or internship for next summer. ,"I am concerned about exams and schoolwork. I’m not doing well in school, and I’m worried about my grades.",I am worried about being able to pay for rent and having enough money to buy food.,I am concerned about COVID-19 uncertainty and my health.,"My friends and family think that the COVID-19 vaccine will be detrimental to my health, so I am not sure whether or not I should take the vaccine.",start early,give up,ask your school office for assistance,try meditation,talk to them about it,1,10,3,5,3
worker2,I am worried about not finding a job or internship for next summer. ,"I am concerned about exams and schoolwork. I’m not doing well in school, and I’m worried about my grades.",I am worried about being able to pay for rent and having enough money to buy food.,I am concerned about COVID-19 uncertainty and my health.,"My friends and family think that the COVID-19 vaccine will be detrimental to my health, so I am not sure whether or not I should take the vaccine.",start early,give up,ask your school office for assistance,try meditation,talk to them about it,3,2,4,3,5
worker3,I am worried about not finding a job or internship for next summer. ,"I am concerned about exams and schoolwork. I’m not doing well in school, and I’m worried about my grades.",I am worried about being able to pay for rent and having enough money to buy food.,I am concerned about COVID-19 uncertainty and my health.,"My friends and family think that the COVID-19 vaccine will be detrimental to my health, so I am not sure whether or not I should take the vaccine.",start early,give up,ask your school office for assistance,try meditation,talk to them about it,4,3,5,2,2
worker4,I am worried about not finding a job or internship for next summer. ,"I am concerned about exams and schoolwork. I’m not doing well in school, and I’m worried about my grades.",I am worried about being able to pay for rent and having enough money to buy food.,I am concerned about COVID-19 uncertainty and my health.,"My friends and family think that the COVID-19 vaccine will be detrimental to my health, so I am not sure whether or not I should take the vaccine.",start early,give up,ask your school office for assistance,try meditation,talk to them about it,1,3,1,9,3
worker5,I am worried about not finding a job or internship for next summer. ,"I am concerned about exams and schoolwork. I’m not doing well in school, and I’m worried about my grades.",I am worried about being able to pay for rent and having enough money to buy food.,I am concerned about COVID-19 uncertainty and my health.,"My friends and family think that the COVID-19 vaccine will be detrimental to my health, so I am not sure whether or not I should take the vaccine.",start early,give up,ask your school office for assistance,try meditation,talk to them about it,10,1,3,5,9
worker6,I am worried about not finding a job or internship for next summer. ,"I am concerned about exams and schoolwork. I’m not doing well in school, and I’m worried about my grades.",I am worried about being able to pay for rent and having enough money to buy food.,I am concerned about COVID-19 uncertainty and my health.,"My friends and family think that the COVID-19 vaccine will be detrimental to my health, so I am not sure whether or not I should take the vaccine.",dont worry,get good sleep,create a budget,try yoga,talk to them about it,2,5,5,3,10
worker7,I am worried about not finding a job or internship for next summer. ,"I am concerned about exams and schoolwork. I’m not doing well in school, and I’m worried about my grades.",I am worried about being able to pay for rent and having enough money to buy food.,I am concerned about COVID-19 uncertainty and my health.,"My friends and family think that the COVID-19 vaccine will be detrimental to my health, so I am not sure whether or not I should take the vaccine.",dont worry,get good sleep,create a budget,try yoga,talk to them about it,8,3,3,3,5
worker8,I am worried about not finding a job or internship for next summer. ,"I am concerned about exams and schoolwork. I’m not doing well in school, and I’m worried about my grades.",I am worried about being able to pay for rent and having enough money to buy food.,I am concerned about COVID-19 uncertainty and my health.,"My friends and family think that the COVID-19 vaccine will be detrimental to my health, so I am not sure whether or not I should take the vaccine.",dont worry,get good sleep,create a budget,try yoga,talk to them about it,1,7,2,2,10
worker9,I am worried about not finding a job or internship for next summer. ,"I am concerned about exams and schoolwork. I’m not doing well in school, and I’m worried about my grades.",I am worried about being able to pay for rent and having enough money to buy food.,I am concerned about COVID-19 uncertainty and my health.,"My friends and family think that the COVID-19 vaccine will be detrimental to my health, so I am not sure whether or not I should take the vaccine.",dont worry,get good sleep,create a budget,try yoga,talk to them about it,8,6,1,10,4
worker10,I am worried about not finding a job or internship for next summer. ,"I am concerned about exams and schoolwork. I’m not doing well in school, and I’m worried about my grades.",I am worried about being able to pay for rent and having enough money to buy food.,I am concerned about COVID-19 uncertainty and my health.,"My friends and family think that the COVID-19 vaccine will be detrimental to my health, so I am not sure whether or not I should take the vaccine.",dont worry,get good sleep,create a budget,try yoga,talk to them about it,9,9,10,2,1
worker11,I am stressed about my childcare responsibilities.,I am worried about balancing my social and work life.,"I am concerned about my mental health, I am having trouble finding time for self care.",I am nervous about making new friends and having a good social life.,I am being stressed by my roommates being loud and not paying attention to roommate agreement. ,try to find some time for yourself,create a schedule,it all will work out,try meeting people at school ,move out,1,10,3,3,5
worker12,I am stressed about my childcare responsibilities.,I am worried about balancing my social and work life.,"I am concerned about my mental health, I am having trouble finding time for self care.",I am nervous about making new friends and having a good social life.,I am being stressed by my roommates being loud and not paying attention to roommate agreement. ,try to find some time for yourself,create a schedule,it all will work out,try meeting people at school ,move out,10,3,5,3,5
worker13,I am stressed about my childcare responsibilities.,I am worried about balancing my social and work life.,"I am concerned about my mental health, I am having trouble finding time for self care.",I am nervous about making new friends and having a good social life.,I am being stressed by my roommates being loud and not paying attention to roommate agreement. ,try to find some time for yourself,create a schedule,it all will work out,try meeting people at school ,move out,3,5,3,5,10
worker14,I am stressed about my childcare responsibilities.,I am worried about balancing my social and work life.,"I am concerned about my mental health, I am having trouble finding time for self care.",I am nervous about making new friends and having a good social life.,I am being stressed by my roommates being loud and not paying attention to roommate agreement. ,try to find some time for yourself,create a schedule,it all will work out,try meeting people at school ,move out,2,7,1,3,1
worker15,I am stressed about my childcare responsibilities.,I am worried about balancing my social and work life.,"I am concerned about my mental health, I am having trouble finding time for self care.",I am nervous about making new friends and having a good social life.,I am being stressed by my roommates being loud and not paying attention to roommate agreement. ,try to find some time for yourself,create a schedule,it all will work out,try meeting people at school ,move out,10,3,2,3,1
worker16,I am stressed about my childcare responsibilities.,I am worried about balancing my social and work life.,"I am concerned about my mental health, I am having trouble finding time for self care.",I am nervous about making new friends and having a good social life.,I am being stressed by my roommates being loud and not paying attention to roommate agreement. ,try asking other people for help,go to a party,it will get better,message people on social media,find new roommates,4,9,7,1,3
worker17,I am stressed about my childcare responsibilities.,I am worried about balancing my social and work life.,"I am concerned about my mental health, I am having trouble finding time for self care.",I am nervous about making new friends and having a good social life.,I am being stressed by my roommates being loud and not paying attention to roommate agreement. ,try asking other people for help,go to a party,it will get better,message people on social media,find new roommates,8,2,5,9,2
worker18,I am stressed about my childcare responsibilities.,I am worried about balancing my social and work life.,"I am concerned about my mental health, I am having trouble finding time for self care.",I am nervous about making new friends and having a good social life.,I am being stressed by my roommates being loud and not paying attention to roommate agreement. ,try asking other people for help,go to a party,it will get better,message people on social media,find new roommates,10,10,9,10,5
worker19,I am stressed about my childcare responsibilities.,I am worried about balancing my social and work life.,"I am concerned about my mental health, I am having trouble finding time for self care.",I am nervous about making new friends and having a good social life.,I am being stressed by my roommates being loud and not paying attention to roommate agreement. ,try asking other people for help,go to a party,it will get better,message people on social media,find new roommates,3,3,2,2,4
