Stressor,Response
I am being stressed by my roommates being loud and not paying attention to roommate agreement.,Complaining will not solve our problem.It will only make enmity. Try to make friends with them as their and your opinions may differ. So first of all try to be caring and friendly nature towards them and then share your stress problem with them. Give them some space.
I am being stressed by my roommates being loud and not paying attention to roommate agreement.,Do not need to stressed and try to understand each other because they are coming from different place with different culture. Habits are different in growing life and it may be their nature in talking loud. So easy in staying with these type of roommates.
I am being stressed by my roommates being loud and not paying attention to roommate agreement.,I am so sorry you feel that way. Try talking to them and consult counseling or legal services at the university. You can try talking to the office where your lease is about seeing if they can help. You got this!
I am being stressed by my roommates being loud and not paying attention to roommate agreement.,I can relate to the way you are feeling but you need to draw your roommates's attention to the fact he or she is being loud and it does not comply to the agreement you had . Do not be overwhelmed with the situation just have the conversation and make sure you reach an understanding.
I am being stressed by my roommates being loud and not paying attention to roommate agreement.,I definitely can relate to that feeling and it can be very annoying and unbearable. You can have a conversation about that with your roommate and make him/her realize that it is not favorable for you and that it is against the agreement you had before moving in with you. I'm sure it will resolve the issue.
I am being stressed by my roommates being loud and not paying attention to roommate agreement.,"I understand, not everyone enjoys being around loud roommates and those that do no obey the roommate agreement. I would suggest talking to them if you haven't already or if that hasn't worked perhaps you can report them to your Hall's warden or sub-warden via call, in person or email, they should be able to deal with such situations. It is also useful if you have some evidence of your roommates not paying attention to roommate agreement such as, pictures, videos, camera recordings as this may be required for proof."
I am being stressed by my roommates being loud and not paying attention to roommate agreement.,"sharing personal space with new people can be difficult, remember that everyone has their own difficulties and ways of acting, respect and empathy are the main qualities among roommates, have a meeting and express your feelings about their behavior and your needs, I'm sure you can reach an agreement and live in harmony, remember that roommates are friends for life, almost family, trying to reconcile is always the best way, you can do it!"
I am concerned about COVID-19 uncertainty and my health.,As long as you are following COVID guidelines you will be safe.
I am concerned about COVID-19 uncertainty and my health.,"I am as concerned as you are too but we should continue to practice the healthy safety procedures. Irrespective of the fact that many are taking the vaccine, we need to maintain healthy living and take care of our health"
I am concerned about COVID-19 uncertainty and my health.,"I completely understand that. There are telehealth resources and COVID-19 at home tests that can help make sure you do not have it. Also, make sure you wear your mask, practice social distancing, and only go out when you have to. I believe in you!"
I am concerned about COVID-19 uncertainty and my health.,"It's normal to feel this way in this period. Try to take all the precautions to keep yourself safe, use masks, wash your hands frequently, keep a distance of 2 meters and avoid going out when it's not necessary. But remember to keep your mental health also in consideration by talking to your dear ones frequently and also by taking care of yourself and having a routine."
I am concerned about COVID-19 uncertainty and my health.,"It's okay to feel this way, especially in this period. Try to take all the precautions in keeping you out of danger, wear masks, keep your distance from other people and go out only when necessary. Also if your mental health is also going down, please contact your doctor and take a psychologist appointment."
I am concerned about COVID-19 uncertainty and my health.,"the covid will pass, and you'll be fine, let's get the vaccine"
I am concerned about COVID-19 uncertainty and my health.,"you are not alone, in this pandemic scenario we are all a little paranoid about the virus. make sure you are taking all the necessary precautions, avoid exposing yourself to the maximum and get the vaccine as soon as possible! keep an eye out for any symptoms that may indicate the disease. take time to get off topic if possible, try new hobbies and studies can help with anxiety and worry. taking all care your health is going well! don't worry so much, we will get out of it soon."
I am concerned about exams and schoolwork. I am not doing well in school and I am worried about my grades.,Concentrate when the lessons are explained. Ask the doubts immediately and clarified it. Try to divide your time for each and every subjects. Read the lesson thoroughly one's or twice. And after reading the Question & Answers write it down with out seeing.This will remind in your mind for a longer time. Try to understand the sentences than only you can remember it.
I am concerned about exams and schoolwork. I am not doing well in school and I am worried about my grades.,"Do not afraid those things, you give attention to the studies and you will win and recieve the grades. You need to work hard then only you will be rewarded. Unless you pay attention to the study you never win. So you concentrate in the schoolwork and appear for the examination with full concious."
I am concerned about exams and schoolwork. I am not doing well in school and I am worried about my grades.,I am for sure concerned about exams and schoolwork. I am doing my best in school and I am not worried about my grades. I consult with the teachers on what to work on and improve on. I maintain my focus taking on their advice.
I am concerned about exams and schoolwork. I am not doing well in school and I am worried about my grades.,"I understand your situation very well. The fact that you are doing well at school means that you have the potential to perform well on your grades. You just have to take your time to read and understand the question, and be able to relate what you have learnt with the question before answering it. I am 100% positive that you will surely improve on your grades once you do that."
I am concerned about exams and schoolwork. I am not doing well in school and I am worried about my grades.,"If you find yourself preparing for school by hoping for the best and imagining the worst, you're not alone. Here's what we heard from 600 people who took our survey on back-to-school worries.
  
 

  One third said they worry most about schoolwork. No surprise there. You'll be studying more advanced material, so it's natural to worry about whether you'll do OK."
I am concerned about exams and schoolwork. I am not doing well in school and I am worried about my grades.,It will be okay. Just make sure to set aside time each day to study and work on homework. Making sure to commit to school each day will ensure that you don't fall behind. Also look into the schools academic resource center if they have one.
I am concerned about exams and schoolwork. I am not doing well in school and I am worried about my grades.,"Take more time to study .Don't worry about your grades.
  work hard and study well."
I am concerned about exams and schoolwork. I am not doing well in school and I am worried about my grades.,"calm down, will pass, study some more"
I am concerned about exams and schoolwork. I am not doing well in school and I am worried about my grades.,"you just have to try harder, study harder"
I am concerned about my mental health. I am having trouble finding time for self care.,"If we don't take good rest than our mental health will be affected. So we have to set time for every routine of our life. Sleeping early and rising early is good habit. Sleeping at least 7 to 8 hours will give our body time to repair many illness in our body. Eating at proper time and fresh vegetables, fruits also play a big role for our good mental health. Avoid junk, refined and package foods."
I am concerned about my mental health. I am having trouble finding time for self care.,"It is normal to feel this way, this is just the first step tp understand you might have a problem. Try to find a routine in the morning and in the evening where you take care of yourself, try to change environment if you work from home, maybe just changing the room and leaving behind your pc might be a little difference. Try to contact a psychologist and take time for yourself."
I am concerned about my mental health. I am having trouble finding time for self care.,"Listen, mental health is very important. Take the time to consult a specialist, you will see that you will find relief. And then, think also of your family members, seeing you get better, surely we would be better too."
I am concerned about my mental health. I am having trouble finding time for self care.,"Mental Health is very important, many people have committed suicide due to poor mental health. So, it is good that you are concerned about your mental health. Luckily, there are now many resources out there to help you improve ones mental being such as counselling both in person and online, there are tips on how to look after your mental health on Youtube https://www.youtube.com/watch?v=ZWVcSwcbDK0 and even just searching on google https://www.mentalhealth.org.uk/publications/how-to-mental-health."
I am concerned about my mental health. I am having trouble finding time for self care.,Seek the help you need sooner than later. There are many places for mental health that will assist you with getting back to a normal calm level. Always make the time try to take something out of your daily routine to have that extra time because your health comes first.
I am concerned about my mental health. I am having trouble finding time for self care.,Things are rough these days. Look for mental health apps and if needed search for mental health professionals. You can also check your university for free or cheap counseling and support groups. You got this!
I am concerned about my mental health. I am having trouble finding time for self care.,"University is a confusing time of life where you are figuring out what you want to do with your life, making friends, finding your place in a community, and studying. It can definitely be difficult to take care of your mental health and making time for yourself. One strategy I suggest is setting a schedule to set aside time just for yourself, or simply find activities that you enjoy in your free time."
I am concerned about my mental health. I am having trouble finding time for self care.,You should take a few minutes out of every day to focus on you. Put a reminder on your phone to just get away from all the distractions. Maybe do a face mask or a bath bomb and soak.
I am concerned about my mental health. I am having trouble finding time for self care.,"having time for yourself is a human need. try not to charge yourself so much in other aspects and take a few minutes out of the day to be silent with yourself and understand your feelings and concerns, it will even help in the day to day tasks, talk to friends, family and take time to have fun and remember to ask for help whenever necessary. it is not a shame not to be able to do everything and you are not alone"
I am concerned about my mental health. I am having trouble finding time for self care.,"look for a psychologist, it's the best thing to do"
I am nervous about making new friends and having a good social life.,I completely understand that. It is hard to make friends. Look for various social groups and apps. Check for clubs and groups at your university. You got this!
I am nervous about making new friends and having a good social life.,"I know right, it is ok to be nervous but you have to go out your comfort zone and explore and make new friends. You have to live your life and be careful with your choice of friends. Keep friends that will help you grow and not affect you negatively."
I am nervous about making new friends and having a good social life.,"It's okay dear, no worries. It might be useful for you to start participating activities that you're interested in, do no go there because you want new friends, but with the expectation of going to do something you enjoy doing. Also consider to not give yourself too much pressure in having a perfect social life, every person is different, so live day by day."
I am nervous about making new friends and having a good social life.,"Just be yourself, those that gravitate towards you will be the ones who become friends. And don't worry about a social life. It will happen, don't force it."
I am nervous about making new friends and having a good social life.,"Making new friends is never an easy thing, especially if you are an introvert like me, so I understand. However, it is still possible to have a good social life, you just need to start off talking with at least one or two people and as time goes by you will get use to talking with much more people. One of the main ways to get use to making new friends is to continuously keep on talking with people, I believe that's how one can begin to build and have a good social life. There are some more tips here, if you would like more information on how to build a good social life and make more friends https://headsupguys.org/practical-tips/social-life/."
I am nervous about making new friends and having a good social life.,"So are they, there are many nervous people like me when it comes to meeting someone for the first time. When you get to the point of being more comfortable after just a few hangouts you'll know it was completely worth it. Just keep it short and simple just ask them to meet for a quick coffee and talk about regular normal daily activities."
I am nervous about making new friends and having a good social life.,"When making new friends and having a good social life, it can be hard. On one hand, you want to make a good impression, but you want to be able to be yourself. In order to have a good social life, you also want to be able to have good friends. One strategy I suggest is knowing that everyone is seeking friendship as well and friends will come to you one way or another."
I am nervous about making new friends and having a good social life.,"being in a new environment and making new friends can seem difficult, but being yourself confident soon find your group of friends and will gradually build your social life, remember that the possibilities are endless and that you are great! how people will love you.don't cover yourself so much, live this experience to the fullest and allow yourself to make mistakes, be kind to yourself and people will also be."
I am nervous about making new friends and having a good social life.,make eye contact with a stranger. smile at someone you don't know. introduce yourself to someone new. ask someone you just met a question.
