HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.Stressor1,Input.Response1,Input.Stressor2,Input.Response2,Input.Stressor3,Input.Response3,Answer.rating_1,Answer.rating_2,Answer.rating_3,Approve,Reject
3FBEFUUYRK545VFT3JXT6J3U22SA65,3O8UG586S9MVAG9TMHWVY617S7H494,Rate the following responses,"Given a problem and a response, rate how appropriate and useful the response is.","rate, wellness",$0.03 ,Sun May 02 15:47:13 PDT 2021,6,BatchId:4428299;OriginalHitTemplateId:928390828;,3600,259200,Sun May 09 15:47:13 PDT 2021,,,33LK57MYLT5CFLJSCQLXD1MDCU2ZSA,A2JI1AH1YMSBC4,Approved,Sun May 02 15:48:18 PDT 2021,Sun May 02 15:56:18 PDT 2021,Wed May 05 15:56:18 PDT 2021,Sun May 02 18:47:36 PDT 2021,,,480,100% (19/19),100% (19/19),100% (19/19),I am being stressed by my roommates being loud and not paying attention to roommate agreement.,Complaining will not solve our problem.It will only make enmity. Try to make friends with them as their and your opinions may differ. So first of all try to be caring and friendly nature towards them and then share your stress problem with them. Give them some space.,I am concerned about my mental health. I am having trouble finding time for self care.,Things are rough these days. Look for mental health apps and if needed search for mental health professionals. You can also check your university for free or cheap counseling and support groups. You got this!,I am worried about balancing my social and work life.,Balancing social and work life takes practice. Schedule both of your events in your phone so you can devote time to both. Create daily check ins to reflect on progress towards your goal to edit things as needed. I believe in you!,9,10,4,,
3FBEFUUYRK545VFT3JXT6J3U22SA65,3O8UG586S9MVAG9TMHWVY617S7H494,Rate the following responses,"Given a problem and a response, rate how appropriate and useful the response is.","rate, wellness",$0.03 ,Sun May 02 15:47:13 PDT 2021,6,BatchId:4428299;OriginalHitTemplateId:928390828;,3600,259200,Sun May 09 15:47:13 PDT 2021,,,39ZSFO5CA8W2UJ6SJ9DB48GBETBJUQ,A2519LCLPN7Y6I,Approved,Sun May 02 15:49:54 PDT 2021,Sun May 02 15:54:18 PDT 2021,Wed May 05 15:54:18 PDT 2021,Sun May 02 18:47:36 PDT 2021,,,264,100% (19/19),100% (19/19),100% (19/19),I am being stressed by my roommates being loud and not paying attention to roommate agreement.,Complaining will not solve our problem.It will only make enmity. Try to make friends with them as their and your opinions may differ. So first of all try to be caring and friendly nature towards them and then share your stress problem with them. Give them some space.,I am concerned about my mental health. I am having trouble finding time for self care.,Things are rough these days. Look for mental health apps and if needed search for mental health professionals. You can also check your university for free or cheap counseling and support groups. You got this!,I am worried about balancing my social and work life.,Balancing social and work life takes practice. Schedule both of your events in your phone so you can devote time to both. Create daily check ins to reflect on progress towards your goal to edit things as needed. I believe in you!,9,8,10,,
3FBEFUUYRK545VFT3JXT6J3U22SA65,3O8UG586S9MVAG9TMHWVY617S7H494,Rate the following responses,"Given a problem and a response, rate how appropriate and useful the response is.","rate, wellness",$0.03 ,Sun May 02 15:47:13 PDT 2021,6,BatchId:4428299;OriginalHitTemplateId:928390828;,3600,259200,Sun May 09 15:47:13 PDT 2021,,,3EKVH9QMEY4G7LXYQTHUVRQ6QJZ2DJ,A1C7YB2GB9T6US,Approved,Sun May 02 16:44:29 PDT 2021,Sun May 02 16:48:44 PDT 2021,Wed May 05 16:48:44 PDT 2021,Sun May 02 18:47:36 PDT 2021,,,255,100% (6/6),100% (6/6),100% (6/6),I am being stressed by my roommates being loud and not paying attention to roommate agreement.,Complaining will not solve our problem.It will only make enmity. Try to make friends with them as their and your opinions may differ. So first of all try to be caring and friendly nature towards them and then share your stress problem with them. Give them some space.,I am concerned about my mental health. I am having trouble finding time for self care.,Things are rough these days. Look for mental health apps and if needed search for mental health professionals. You can also check your university for free or cheap counseling and support groups. You got this!,I am worried about balancing my social and work life.,Balancing social and work life takes practice. Schedule both of your events in your phone so you can devote time to both. Create daily check ins to reflect on progress towards your goal to edit things as needed. I believe in you!,6,5,8,,
3FBEFUUYRK545VFT3JXT6J3U22SA65,3O8UG586S9MVAG9TMHWVY617S7H494,Rate the following responses,"Given a problem and a response, rate how appropriate and useful the response is.","rate, wellness",$0.03 ,Sun May 02 15:47:13 PDT 2021,6,BatchId:4428299;OriginalHitTemplateId:928390828;,3600,259200,Sun May 09 15:47:13 PDT 2021,,,3HOSI13XHZO3AVVENI1BRAHAN9JDDW,A3NFGEUZAH9V5G,Approved,Sun May 02 15:50:02 PDT 2021,Sun May 02 15:50:15 PDT 2021,Wed May 05 15:50:15 PDT 2021,Sun May 02 18:47:36 PDT 2021,,,13,100% (12/12),100% (12/12),100% (12/12),I am being stressed by my roommates being loud and not paying attention to roommate agreement.,Complaining will not solve our problem.It will only make enmity. Try to make friends with them as their and your opinions may differ. So first of all try to be caring and friendly nature towards them and then share your stress problem with them. Give them some space.,I am concerned about my mental health. I am having trouble finding time for self care.,Things are rough these days. Look for mental health apps and if needed search for mental health professionals. You can also check your university for free or cheap counseling and support groups. You got this!,I am worried about balancing my social and work life.,Balancing social and work life takes practice. Schedule both of your events in your phone so you can devote time to both. Create daily check ins to reflect on progress towards your goal to edit things as needed. I believe in you!,5,7,7,,
3FBEFUUYRK545VFT3JXT6J3U22SA65,3O8UG586S9MVAG9TMHWVY617S7H494,Rate the following responses,"Given a problem and a response, rate how appropriate and useful the response is.","rate, wellness",$0.03 ,Sun May 02 15:47:13 PDT 2021,6,BatchId:4428299;OriginalHitTemplateId:928390828;,3600,259200,Sun May 09 15:47:13 PDT 2021,,,3S4AW7T80BI98B0D7OY67JV9J5T4LR,A1Z3GFH6MNSU46,Approved,Sun May 02 15:58:40 PDT 2021,Sun May 02 16:04:09 PDT 2021,Wed May 05 16:04:09 PDT 2021,Sun May 02 18:47:36 PDT 2021,,,329,100% (14/14),100% (14/14),100% (14/14),I am being stressed by my roommates being loud and not paying attention to roommate agreement.,Complaining will not solve our problem.It will only make enmity. Try to make friends with them as their and your opinions may differ. So first of all try to be caring and friendly nature towards them and then share your stress problem with them. Give them some space.,I am concerned about my mental health. I am having trouble finding time for self care.,Things are rough these days. Look for mental health apps and if needed search for mental health professionals. You can also check your university for free or cheap counseling and support groups. You got this!,I am worried about balancing my social and work life.,Balancing social and work life takes practice. Schedule both of your events in your phone so you can devote time to both. Create daily check ins to reflect on progress towards your goal to edit things as needed. I believe in you!,9,9,7,,
3G9UA71JVVUYAOW2GZFY5W69N067JH,3O8UG586S9MVAG9TMHWVY617S7H494,Rate the following responses,"Given a problem and a response, rate how appropriate and useful the response is.","rate, wellness",$0.03 ,Sun May 02 15:47:13 PDT 2021,6,BatchId:4428299;OriginalHitTemplateId:928390828;,3600,259200,Sun May 09 15:47:13 PDT 2021,,,3GNCZX450INE1LVS8H1413QTGPPPAK,A2QOQF90L2WREO,Approved,Sun May 02 15:57:56 PDT 2021,Sun May 02 16:11:29 PDT 2021,Wed May 05 16:11:29 PDT 2021,Sun May 02 18:47:36 PDT 2021,,,813,100% (10/10),100% (10/10),100% (10/10),I am being stressed by my roommates being loud and not paying attention to roommate agreement.,Do not need to stressed and try to understand each other because they are coming from different place with different culture. Habits are different in growing life and it may be their nature in talking loud. So easy in staying with these type of roommates.,I am concerned about my mental health. I am having trouble finding time for self care.,"University is a confusing time of life where you are figuring out what you want to do with your life, making friends, finding your place in a community, and studying. It can definitely be difficult to take care of your mental health and making time for yourself. One strategy I suggest is setting a schedule to set aside time just for yourself, or simply find activities that you enjoy in your free time.",I am worried about being able to pay for rent and having enough money to buy food.,"adult life and financial problems are frightening. make a spending spreadsheet to avoid getting out of your budget, maybe finding a cheaper apartment is a good option, ask colleagues and teachers for guidance on good places. take the opportunity to ask for tips on cheap places to eat and even make your own food. if it is still very difficult to maintain, a weekend job can be an alternative. do not let the worries consume you, you can get organized and go through it!",8,7,8,,
3G9UA71JVVUYAOW2GZFY5W69N067JH,3O8UG586S9MVAG9TMHWVY617S7H494,Rate the following responses,"Given a problem and a response, rate how appropriate and useful the response is.","rate, wellness",$0.03 ,Sun May 02 15:47:13 PDT 2021,6,BatchId:4428299;OriginalHitTemplateId:928390828;,3600,259200,Sun May 09 15:47:13 PDT 2021,,,3LOZAJ85YDDU5R2FHTI6PYTY6072XF,A1Z3GFH6MNSU46,Approved,Sun May 02 15:58:39 PDT 2021,Sun May 02 16:03:59 PDT 2021,Wed May 05 16:03:59 PDT 2021,Sun May 02 18:47:37 PDT 2021,,,320,100% (14/14),100% (14/14),100% (14/14),I am being stressed by my roommates being loud and not paying attention to roommate agreement.,Do not need to stressed and try to understand each other because they are coming from different place with different culture. Habits are different in growing life and it may be their nature in talking loud. So easy in staying with these type of roommates.,I am concerned about my mental health. I am having trouble finding time for self care.,"University is a confusing time of life where you are figuring out what you want to do with your life, making friends, finding your place in a community, and studying. It can definitely be difficult to take care of your mental health and making time for yourself. One strategy I suggest is setting a schedule to set aside time just for yourself, or simply find activities that you enjoy in your free time.",I am worried about being able to pay for rent and having enough money to buy food.,"adult life and financial problems are frightening. make a spending spreadsheet to avoid getting out of your budget, maybe finding a cheaper apartment is a good option, ask colleagues and teachers for guidance on good places. take the opportunity to ask for tips on cheap places to eat and even make your own food. if it is still very difficult to maintain, a weekend job can be an alternative. do not let the worries consume you, you can get organized and go through it!",9,9,8,,
3G9UA71JVVUYAOW2GZFY5W69N067JH,3O8UG586S9MVAG9TMHWVY617S7H494,Rate the following responses,"Given a problem and a response, rate how appropriate and useful the response is.","rate, wellness",$0.03 ,Sun May 02 15:47:13 PDT 2021,6,BatchId:4428299;OriginalHitTemplateId:928390828;,3600,259200,Sun May 09 15:47:13 PDT 2021,,,3QY7M81QH7MV7S0EOMKCVV24L7D7KA,A2JI1AH1YMSBC4,Approved,Sun May 02 15:48:15 PDT 2021,Sun May 02 15:55:30 PDT 2021,Wed May 05 15:55:30 PDT 2021,Sun May 02 18:47:37 PDT 2021,,,435,100% (19/19),100% (19/19),100% (19/19),I am being stressed by my roommates being loud and not paying attention to roommate agreement.,Do not need to stressed and try to understand each other because they are coming from different place with different culture. Habits are different in growing life and it may be their nature in talking loud. So easy in staying with these type of roommates.,I am concerned about my mental health. I am having trouble finding time for self care.,"University is a confusing time of life where you are figuring out what you want to do with your life, making friends, finding your place in a community, and studying. It can definitely be difficult to take care of your mental health and making time for yourself. One strategy I suggest is setting a schedule to set aside time just for yourself, or simply find activities that you enjoy in your free time.",I am worried about being able to pay for rent and having enough money to buy food.,"adult life and financial problems are frightening. make a spending spreadsheet to avoid getting out of your budget, maybe finding a cheaper apartment is a good option, ask colleagues and teachers for guidance on good places. take the opportunity to ask for tips on cheap places to eat and even make your own food. if it is still very difficult to maintain, a weekend job can be an alternative. do not let the worries consume you, you can get organized and go through it!",8,8,8,,
3G9UA71JVVUYAOW2GZFY5W69N067JH,3O8UG586S9MVAG9TMHWVY617S7H494,Rate the following responses,"Given a problem and a response, rate how appropriate and useful the response is.","rate, wellness",$0.03 ,Sun May 02 15:47:13 PDT 2021,6,BatchId:4428299;OriginalHitTemplateId:928390828;,3600,259200,Sun May 09 15:47:13 PDT 2021,,,3UXUOQ9OKEXPVFRSCV7N1HZ8GVJA7Y,AWJ3MAVSHICCR,Approved,Sun May 02 15:49:15 PDT 2021,Sun May 02 15:49:30 PDT 2021,Wed May 05 15:49:30 PDT 2021,Sun May 02 18:47:37 PDT 2021,,,15,100% (6/6),100% (6/6),100% (5/5),I am being stressed by my roommates being loud and not paying attention to roommate agreement.,Do not need to stressed and try to understand each other because they are coming from different place with different culture. Habits are different in growing life and it may be their nature in talking loud. So easy in staying with these type of roommates.,I am concerned about my mental health. I am having trouble finding time for self care.,"University is a confusing time of life where you are figuring out what you want to do with your life, making friends, finding your place in a community, and studying. It can definitely be difficult to take care of your mental health and making time for yourself. One strategy I suggest is setting a schedule to set aside time just for yourself, or simply find activities that you enjoy in your free time.",I am worried about being able to pay for rent and having enough money to buy food.,"adult life and financial problems are frightening. make a spending spreadsheet to avoid getting out of your budget, maybe finding a cheaper apartment is a good option, ask colleagues and teachers for guidance on good places. take the opportunity to ask for tips on cheap places to eat and even make your own food. if it is still very difficult to maintain, a weekend job can be an alternative. do not let the worries consume you, you can get organized and go through it!",4,6,7,,
3G9UA71JVVUYAOW2GZFY5W69N067JH,3O8UG586S9MVAG9TMHWVY617S7H494,Rate the following responses,"Given a problem and a response, rate how appropriate and useful the response is.","rate, wellness",$0.03 ,Sun May 02 15:47:13 PDT 2021,6,BatchId:4428299;OriginalHitTemplateId:928390828;,3600,259200,Sun May 09 15:47:13 PDT 2021,,,3V5Q80FXIXRIPTV1X4BIII4UZ5532F,A2519LCLPN7Y6I,Approved,Sun May 02 15:49:38 PDT 2021,Sun May 02 15:52:06 PDT 2021,Wed May 05 15:52:06 PDT 2021,Sun May 02 18:47:37 PDT 2021,,,148,100% (19/19),100% (19/19),100% (19/19),I am being stressed by my roommates being loud and not paying attention to roommate agreement.,Do not need to stressed and try to understand each other because they are coming from different place with different culture. Habits are different in growing life and it may be their nature in talking loud. So easy in staying with these type of roommates.,I am concerned about my mental health. I am having trouble finding time for self care.,"University is a confusing time of life where you are figuring out what you want to do with your life, making friends, finding your place in a community, and studying. It can definitely be difficult to take care of your mental health and making time for yourself. One strategy I suggest is setting a schedule to set aside time just for yourself, or simply find activities that you enjoy in your free time.",I am worried about being able to pay for rent and having enough money to buy food.,"adult life and financial problems are frightening. make a spending spreadsheet to avoid getting out of your budget, maybe finding a cheaper apartment is a good option, ask colleagues and teachers for guidance on good places. take the opportunity to ask for tips on cheap places to eat and even make your own food. if it is still very difficult to maintain, a weekend job can be an alternative. do not let the worries consume you, you can get organized and go through it!",9,8,10,,
