HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.stressor_1,Input.stressor_2,Answer.response_1,Answer.response_2,Approve,Reject
35ZRNT9RUIYUAGMCU04D0BBFH8LO3Z,38DURKLYVFZWPU5MIZTRISY185SJW0,Provide advice about university student stressors,"Given two descriptions of common problems faced by university students, provide advice and encouragement.","advice, encouragement, survey",$0.06 ,Sun Apr 18 21:52:32 PDT 2021,5,BatchId:4412767;OriginalHitTemplateId:928390912;,3600,259200,Sun Apr 25 21:52:32 PDT 2021,,,3907X2AHF05PWI0OV28PVL7V326P2N,A1T0QDGU4D0A0V,Submitted,Sun Apr 18 23:44:41 PDT 2021,Sun Apr 18 23:47:48 PDT 2021,Wed Apr 21 23:47:48 PDT 2021,,,,187,0% (0/0),0% (0/0),0% (0/0),I am worried about not finding a job or internship for next summer.,I am worried about balancing my social and work life.,"Try freelancing or build your own project. ...Take up online classes. ...Learn a new language. ...","Social workers are constantly on the go, dealing with a whirlwind of emotionally demanding situations. While social work professionals may receive praise and appreciation for all of their hard work, dedicating too much time to work without balancing their personal lives can lead to burnout and is not sustainable.",,
35ZRNT9RUIYUAGMCU04D0BBFH8LO3Z,38DURKLYVFZWPU5MIZTRISY185SJW0,Provide advice about university student stressors,"Given two descriptions of common problems faced by university students, provide advice and encouragement.","advice, encouragement, survey",$0.06 ,Sun Apr 18 21:52:32 PDT 2021,5,BatchId:4412767;OriginalHitTemplateId:928390912;,3600,259200,Sun Apr 25 21:52:32 PDT 2021,,,3GDTJDAPVUBUXU50J3PYO8Q3KXLM8P,A381DV1DQVPBHN,Submitted,Sun Apr 18 22:18:29 PDT 2021,Sun Apr 18 22:21:25 PDT 2021,Wed Apr 21 22:21:25 PDT 2021,,,,176,0% (0/0),0% (0/0),0% (0/0),I am worried about not finding a job or internship for next summer.,I am worried about balancing my social and work life.,"I'm sure you would be able to find one with some searching.  Just continue to build up your resume, and apply to as many jobs and internships as possible.  I'm sure you'll receive an offer somewhere.","It's difficult to balance social and work life.  My advice would be to just separate the two, and don't think about one when you're doing the other.  And don't overwork yourself either.",,
35ZRNT9RUIYUAGMCU04D0BBFH8LO3Z,38DURKLYVFZWPU5MIZTRISY185SJW0,Provide advice about university student stressors,"Given two descriptions of common problems faced by university students, provide advice and encouragement.","advice, encouragement, survey",$0.06 ,Sun Apr 18 21:52:32 PDT 2021,5,BatchId:4412767;OriginalHitTemplateId:928390912;,3600,259200,Sun Apr 25 21:52:32 PDT 2021,,,3HRMW88U16QCF50XOZCJVTKL1ZDM06,A1B8P9WRBEPD86,Submitted,Mon Apr 19 00:46:55 PDT 2021,Mon Apr 19 00:56:16 PDT 2021,Thu Apr 22 00:56:16 PDT 2021,,,,561,0% (0/0),0% (0/0),0% (0/0),I am worried about not finding a job or internship for next summer.,I am worried about balancing my social and work life.,"I know it's a complicated context to find a job, but don't worry, there's still a lot of time to look! ask for referrals to friends, family, teachers, show your qualities, experience and willingness to learn, surely one of them will be able to indicate good places to work. sign up for job sites and social networks like linkedin trust your potential and don't give up looking, everything helps in the end! you can find it! good luck.","I'm sure that with a little creativity and positive thinking you can do very well in both areas! remember that to balance personal and professional life you need to set priorities and plan your time well. life is the art of flexibility, if you know yourself and know when to dedicate yourself more to everything, we need to live well with the people around us in the same way that we need to feel professional success to accomplish ourselves. be clear about your goals with the people who participate in your life and know that rest and fun are necessary, over time you balance this scale, believe me!",,
35ZRNT9RUIYUAGMCU04D0BBFH8LO3Z,38DURKLYVFZWPU5MIZTRISY185SJW0,Provide advice about university student stressors,"Given two descriptions of common problems faced by university students, provide advice and encouragement.","advice, encouragement, survey",$0.06 ,Sun Apr 18 21:52:32 PDT 2021,5,BatchId:4412767;OriginalHitTemplateId:928390912;,3600,259200,Sun Apr 25 21:52:32 PDT 2021,,,3K3R2QNK8B3DO7TJXXMYFE28HP6U9E,AA5QJRKG3Y0V5,Submitted,Sun Apr 18 22:28:20 PDT 2021,Sun Apr 18 22:36:16 PDT 2021,Wed Apr 21 22:36:16 PDT 2021,,,,476,0% (0/0),0% (0/0),0% (0/0),I am worried about not finding a job or internship for next summer.,I am worried about balancing my social and work life.,"First don't worry about future, Just focus on your present study,  grow your network and ask for help , if you  need.  Make sure you have some edge in your skill, find your weakness and improve in that area. Be open to any offer and accept whatever comes.  next summer is still long way to go. Keep your spirit up and keep going. best of luck","First stop worrying about that, you are not alone, there is lot of people find it difficult to balancing social and work life. but be careful social life is important but in the same way career is also important.  Better take some day off from your regular work and have some social life and come back to work.  Keep some hours for in a week for social, this way it will reduce your stress. It is all in the mind.",,
35ZRNT9RUIYUAGMCU04D0BBFH8LO3Z,38DURKLYVFZWPU5MIZTRISY185SJW0,Provide advice about university student stressors,"Given two descriptions of common problems faced by university students, provide advice and encouragement.","advice, encouragement, survey",$0.06 ,Sun Apr 18 21:52:32 PDT 2021,5,BatchId:4412767;OriginalHitTemplateId:928390912;,3600,259200,Sun Apr 25 21:52:32 PDT 2021,,,3KKG4CDWKIYE79Z4IRVG2A4EICI946,A2RHN22KBCDQJZ,Submitted,Sun Apr 18 22:09:49 PDT 2021,Sun Apr 18 22:10:17 PDT 2021,Wed Apr 21 22:10:17 PDT 2021,,,,28,0% (0/0),0% (0/0),0% (0/0),I am worried about not finding a job or internship for next summer.,I am worried about balancing my social and work life.,please don't worry all this will pass,please don't worry all this will pass yeah,,
3B9J25CZ25DXL8AOUAWNDJPAKA1SCY,38DURKLYVFZWPU5MIZTRISY185SJW0,Provide advice about university student stressors,"Given two descriptions of common problems faced by university students, provide advice and encouragement.","advice, encouragement, survey",$0.06 ,Sun Apr 18 21:52:32 PDT 2021,5,BatchId:4412767;OriginalHitTemplateId:928390912;,3600,259200,Sun Apr 25 21:52:32 PDT 2021,,,39ASUFLU6X7M07EVADD7RZ2N243XEJ,A1J3ICF1NZYFCR,Submitted,Sun Apr 18 22:34:46 PDT 2021,Sun Apr 18 22:40:00 PDT 2021,Wed Apr 21 22:40:00 PDT 2021,,,,314,0% (0/0),0% (0/0),0% (0/0),I am concerned about exams and schoolwork. I am not doing well in school and I am worried about my grades.,I am worried about being able to pay for rent and having enough money to buy food.,"Take more time to study .Don't worry about your grades.work hard and study well.","Finding a good job and earning a lot of money.Move your life smoothly.",,
3B9J25CZ25DXL8AOUAWNDJPAKA1SCY,38DURKLYVFZWPU5MIZTRISY185SJW0,Provide advice about university student stressors,"Given two descriptions of common problems faced by university students, provide advice and encouragement.","advice, encouragement, survey",$0.06 ,Sun Apr 18 21:52:32 PDT 2021,5,BatchId:4412767;OriginalHitTemplateId:928390912;,3600,259200,Sun Apr 25 21:52:32 PDT 2021,,,39LNWE0K4UW6Z8MM1RSBS71B0FTIUL,A2RHN22KBCDQJZ,Submitted,Sun Apr 18 22:12:29 PDT 2021,Sun Apr 18 22:13:13 PDT 2021,Wed Apr 21 22:13:13 PDT 2021,,,,44,0% (0/0),0% (0/0),0% (0/0),I am concerned about exams and schoolwork. I am not doing well in school and I am worried about my grades.,I am worried about being able to pay for rent and having enough money to buy food.,"calm down, will pass, study some more","I will help you, don't worry, we will help you",,
3B9J25CZ25DXL8AOUAWNDJPAKA1SCY,38DURKLYVFZWPU5MIZTRISY185SJW0,Provide advice about university student stressors,"Given two descriptions of common problems faced by university students, provide advice and encouragement.","advice, encouragement, survey",$0.06 ,Sun Apr 18 21:52:32 PDT 2021,5,BatchId:4412767;OriginalHitTemplateId:928390912;,3600,259200,Sun Apr 25 21:52:32 PDT 2021,,,3EWIJTFFVO7E3H8K71O0ILFCSXI0ER,AYMJAMX7Z7YHG,Submitted,Sun Apr 18 22:05:08 PDT 2021,Sun Apr 18 22:11:11 PDT 2021,Wed Apr 21 22:11:11 PDT 2021,,,,363,0% (0/0),0% (0/0),0% (0/0),I am concerned about exams and schoolwork. I am not doing well in school and I am worried about my grades.,I am worried about being able to pay for rent and having enough money to buy food.,"To spend a lot of time to take study, work hard.study well.Don't worry about grades.","Finding a good job and earning a lot of money.Move your life smoothly.",,
3B9J25CZ25DXL8AOUAWNDJPAKA1SCY,38DURKLYVFZWPU5MIZTRISY185SJW0,Provide advice about university student stressors,"Given two descriptions of common problems faced by university students, provide advice and encouragement.","advice, encouragement, survey",$0.06 ,Sun Apr 18 21:52:32 PDT 2021,5,BatchId:4412767;OriginalHitTemplateId:928390912;,3600,259200,Sun Apr 25 21:52:32 PDT 2021,,,3FQ5JJ512LOKADS14T11RSOUKNSNKC,A1B8P9WRBEPD86,Submitted,Mon Apr 19 00:26:27 PDT 2021,Mon Apr 19 00:33:45 PDT 2021,Thu Apr 22 00:33:45 PDT 2021,,,,438,0% (0/0),0% (0/0),0% (0/0),I am concerned about exams and schoolwork. I am not doing well in school and I am worried about my grades.,I am worried about being able to pay for rent and having enough money to buy food.,"the number of tests and assignments and the difficulty levels can scare us a lot at times, remember that you are able to overcome challenges and you have overcome many others before, you just need to adjust and find your best way to study, do not be compare with other people and allow yourself to rest, with time things will straighten up and your grades will improve, keep on tantalizing!","adult life and financial problems are frightening. make a spending spreadsheet to avoid getting out of your budget, maybe finding a cheaper apartment is a good option, ask colleagues and teachers for guidance on good places. take the opportunity to ask for tips on cheap places to eat and even make your own food. if it is still very difficult to maintain, a weekend job can be an alternative. do not let the worries consume you, you can get organized and go through it!",,
3B9J25CZ25DXL8AOUAWNDJPAKA1SCY,38DURKLYVFZWPU5MIZTRISY185SJW0,Provide advice about university student stressors,"Given two descriptions of common problems faced by university students, provide advice and encouragement.","advice, encouragement, survey",$0.06 ,Sun Apr 18 21:52:32 PDT 2021,5,BatchId:4412767;OriginalHitTemplateId:928390912;,3600,259200,Sun Apr 25 21:52:32 PDT 2021,,,3HWRJOOET52E4QSWG37KSRLVNP1ESS,A2PD9SHVWNX7Q2,Submitted,Sun Apr 18 22:22:51 PDT 2021,Sun Apr 18 22:30:47 PDT 2021,Wed Apr 21 22:30:47 PDT 2021,,,,476,0% (0/0),0% (0/0),0% (0/0),I am concerned about exams and schoolwork. I am not doing well in school and I am worried about my grades.,I am worried about being able to pay for rent and having enough money to buy food.,"I understand your situation very well. The fact that you are doing well at school means that you have the potential to perform well on your grades. You just have to take your time to read and understand the question, and be able to relate what you have learnt with the question before answering it. I am 100% positive that you will surely improve on your grades once you do that.",I understand how this is a difficult situation for you and for most people. I can advice you to stop worrying about this and instead focus on the way to start looking for money to cater for your rent and food. There are many jobs out there you can apply and you start making money.,,
